description,images,link,price,thumbnail,title
"If you don’t know my backstory on the color purple (no, not the movie), I love it (actually, I love the movie, too) so this roomy Hermès Anemone Negonda Garden Party 36 really floats my boat! The open top has a palladium snap in the middle for a partial closure and snaps on the sides to cinch in the boxy shape. Beige-chevron fabric lines the interior that has one zipped pocket and a leather bottom, and can be carried by the dual rolled handles with a 5.5-inch drop. In very good condition and stamped with a P in a square, it comes with a dustbag and has wear on the corners, edges, inside, and a bit on the top exterior edge. This simple-but-elegant tote has an affordable price, sturdy base, long-lasting quality, and without a visible logo, is considered a quiet-luxury bag!
 



Product ID:
HR.W0220.02


Measurements/Size:
14.5”W x 10”H x 6.75”D",,https://www.vestiairecollective.com/women-bags/handbags/hermes/purple-leather-garden-party-hermes-handbag-31791258.shtml,345000,https://images.vestiairecollective.com/produit/31791258-1_2.jpg,Garden Party leather tote
Hermés narrow black Clic H bracelet in black. Has minor scratches and the H part has is slightly worn on the edges as shown in photos but works perfectly. PM size.,,https://www.vestiairecollective.com/women-jewellery/bracelets/hermes/black-steel-clic-h-hermes-bracelet-31386723.shtml,44642,https://images.vestiairecollective.com/produit/31386723-1_2.jpg,Clic H bracelet
"Absolutely new condition, 
Sold out and rare
With box and original invoice Hermés Hamburg 

",,https://www.vestiairecollective.com/men-bags/small-bags-wallets-cases/hermes/black-leather-mc2-hermes-small-bag-30568383.shtml,90342,https://images.vestiairecollective.com/produit/30568383-1_2.jpg,MC2 leather small bag
"Features Hermès Medor watch, gold yellow Epson strap, serial number: 895129. Buckle closure. 
please note: the watch is stopped and the gold has left the cabochons. Wrinkles in leather. 
Measurements: width 20.5 cm.",,https://www.vestiairecollective.com/women-accessories/watches/hermes/gold-gold-plated-medor-hermes-watch-30159868.shtml,51694,https://images.vestiairecollective.com/produit/30159868-1.jpg,Médor watch
Multicolor Twilly 86 choker. 100% silk. Sold with tag and dust bag. Made in France. TL: 85cm - W: 5cm.,,https://www.vestiairecollective.com/women-accessories/scarves/hermes/multicolour-silk-twilly-86-hermes-scarf-31325646.shtml,24436,https://images.vestiairecollective.com/produit/31325646-1_1.jpg,Twilly 86 silk choker
"Hermes Ring
Silver - 925 - hallmarked
Model: Echappée/ formerly the model was called SPI
Size 51 (is also engraved) - fits up to size 52
925/ 1000 silver
width 0.35cm
circle with bridge diameter 1.9 x 1.7cm 
Normal scratches and traces of wear, but this is normal for silver (see photos)[ [2]]Great condition",,https://www.vestiairecollective.com/women-jewellery/rings/hermes/silver-silver-spi-hermes-ring-31013346.shtml,41118,https://images.vestiairecollective.com/produit/31013346-1_2.jpg,Spi silver ring
"[Control number] 5A0047ZI5
[Brand] エルメス（HERMES）
[subject] Women's
[Color] Brown
[Metal fittings] Gold
[model] Grenan
[Country of origin] Italy
[size] 
Total length: about 7.5""
Notation size: T2
[material] VeauSwift VeauSwift
[accessories] Box、Dust Bag

■Condition
[Status] 
It will be an unused item, but there are a few Stain / co-scratches due to storage etc. Comes with a protective sticker.",,https://www.vestiairecollective.com/men-accessories/jewellery/hermes/brown-leather-hermes-jewellery-31033014.shtml,23430,https://images.vestiairecollective.com/produit/31033014-1_2.jpg,Leather jewellery
"Etoupe Togo -estimated color and leather- Sellier Birkin 35 handbag from the 2015 Collection. Palladium hardware. Protection feet. Padlock and its keys in the ""clochette"". Tonal color Goat leather interior. One compartment with one zipped pocket and one patch pocket. Measurements: 35cm (W) x 28cm (H) x 17cm (Depth). Made in France. With original box, dustbag and shopping bag. Details: light friction marks on the palladium. Erosion marks on the clasp. Patinated handles, corners, and pipings. Marks on the handles. Discreet marks here or there on the leather. Some small marks inside.",,https://www.vestiairecollective.com/women-bags/handbags/hermes/brown-leather-birkin-35-hermes-handbag-31098879.shtml,1080816,https://images.vestiairecollective.com/produit/31098879-1_8.jpg,Birkin 35 leather handbag
"Hermès sneakers for men, Trail model. Beige leather. very comfortable 
 are no longer available in stores. 
Very good condition 
sold with Hermès dustbag 

Size 40 large size at Hermès.
I usually wear 41.5 or even 42 in certain models [ [2]]

",,https://www.vestiairecollective.com/men-shoes/trainers/hermes/beige-leather-stadium-hermes-trainers-31800369.shtml,41118,https://images.vestiairecollective.com/produit/31800369-1_4.jpg,Stadium leather low trainers
Brand new hermes oran sandal in 38,,https://www.vestiairecollective.com/women-shoes/sandals/hermes/blue-leather-oran-hermes-sandals-30693578.shtml,78000,https://images.vestiairecollective.com/produit/30693578-1_2.jpg,Oran leather mules
"New, never worn with tags.

French size 38
Material: 98% cotton, 2% elastane
Jacket in denim style",,https://www.vestiairecollective.com/women-clothing/jackets/hermes/pink-cotton-hermes-jacket-31921362.shtml,234960,https://images.vestiairecollective.com/produit/31921362-1_2.jpg,Short vest
